,rank,feature,score,ngram,label
0,0,ไม่,0.02100864636106379,1,neg
1,1,อยาก,0.01932957121584185,1,neg
2,2,มากกว่า,0.017099050514298005,1,neg
3,3,เพิ่ม,0.013131730411229949,1,neg
4,4,ยัง,0.012120082931397585,1,neg
5,5,พื้นฐาน,0.012117993181268886,1,neg
6,6,เหมือน,0.01179765699905909,1,neg
7,7,ก่อน,0.01088861587576611,1,neg
8,8,แต่ละ,0.010704137561361498,1,neg
9,9,เข้าใจ,0.01033812576468621,1,neg
10,10,ตัวอย่าง,0.010193649498822389,1,neg
11,11,สอน,0.010085482197395681,1,neg
12,12,คน,0.009808545722747029,1,neg
13,13,ควร,0.009680215820553076,1,neg
14,14,บาง,0.009240417429244764,1,neg
15,15,ยัง ไม่,0.009197497104921808,2,neg
16,16,แต่,0.009189847486061173,1,neg
17,17,สำหรับ,0.008823956357439908,1,neg
18,18,ทำ,0.008130790476025175,1,neg
19,19,ลง,0.008091278944402917,1,neg
20,20,หรือ,0.008058206575552469,1,neg
21,21,จริง,0.007462932376981594,1,neg
22,22,มากขึ้น,0.007437465908259277,1,neg
23,23,แล้ว,0.007268989302323276,1,neg
24,24,เรื่อง,0.007045394476654122,1,neg
25,25,อาจจะ,0.007035960230754562,1,neg
26,26,โปรแกรม,0.006831898123299375,1,neg
27,27,นำไปใช้,0.006691348945711558,1,neg
28,28,ไม่ รู้,0.006621495675643046,2,neg
29,29,กว่า,0.006590604008439404,1,neg
30,30,คอร์ส,0.0065822154322689175,1,neg
31,31,เกินไป,0.006540136159983235,1,neg
32,32,ยาก,0.006529298506902493,1,neg
33,33,รายละเอียด,0.006521028911903191,1,neg
34,34,ช้า,0.006519229055971304,1,neg
35,35,ไว้,0.006481838557709904,1,neg
36,36,เรียนรู้,0.006449455818221453,1,neg
37,37,ต้อง,0.0063559051893901305,1,neg
38,38,ฟัง,0.006311214131881149,1,neg
39,39,ผู้,0.006219467332879463,1,neg
40,40,เนื้อหา,0.006208342035077563,1,neg
41,41,อยาก เพิ่ม,0.006145654329856235,2,neg
42,42,รู้,0.006122773507229085,1,neg
43,43,ความรู้,0.006074158178348898,1,neg
44,44,หัวข้อ,0.006053836545178569,1,neg
45,45,ก็,0.0060220499269178825,1,neg
46,46,แบบ,0.005844763162816177,1,neg
47,47,มาก,0.005763290562337049,1,neg
48,48,ผู้เรียน,0.005708815439991914,1,neg
49,49,ถ้า,0.005658473131174946,1,neg
50,50,เรียน,0.005653735050074705,1,neg
51,51,ครบ,0.005596999726670753,1,neg
52,52,ค่อนข้าง,0.0054882797091923,1,neg
53,53,บท,0.00539513445642775,1,neg
54,54,เลย,0.005343552198624221,1,neg
55,55,อยากได้,0.0052764476138787665,1,neg
56,56,ได้ดี,0.0052699353003819276,1,neg
57,57,ละเอียด,0.005176746150392874,1,neg
58,58,เยอะ,0.005169713352531082,1,neg
59,59,การอธิบาย,0.005115673213881667,1,neg
60,60,พื้นฐาน ได้ดี,0.005035661265106774,2,neg
61,61,ความ,0.005019836923350938,1,neg
62,62,อยู่,0.004996746893259878,1,neg
63,63,คิด,0.004989943098427576,1,neg
64,64,เหมาะ,0.00494925870828802,1,neg
65,65,concept,0.00485914079069358,1,neg
66,66,เริ่มต้น,0.0047998621390797774,1,neg
67,67,หน่อย,0.004797571861163381,1,neg
68,68,ตาม,0.0047683557031267905,1,neg
69,69,คือ,0.004742730655390002,1,neg
70,70,คาดหวัง,0.00467227870664348,1,neg
71,71,เพื่อ,0.004661222337309926,1,neg
72,72,การใช้งาน,0.0045695380049345655,1,neg
73,73,แล้ว ยัง,0.004549963651981229,2,neg
74,74,อยาก ตัวอย่าง,0.004543730456433738,2,neg
75,75,ต่างๆ,0.004521693614025038,1,neg
76,76,นำไปใช้ จริง,0.004463545480704073,2,neg
77,77,ปัจจุบัน,0.004452072369765361,1,neg
78,78,ลง ลึก,0.004440617329051724,2,neg
79,79,เข้า,0.004343851804810857,1,neg
80,80,เวลา,0.00424897589831603,1,neg
81,81,น่าจะ,0.004243889372800013,1,neg
82,82,อะไร,0.004241074589853062,1,neg
83,83,ขึ้น,0.00422384772259246,1,neg
84,84,สั้น,0.00422141175724809,1,neg
85,85,error,0.004215901725291208,1,neg
86,86,หา,0.0042074500300503005,1,neg
87,87,ภาษา,0.004204266895518593,1,neg
88,88,คลิป,0.004199349961274384,1,neg
89,89,",",0.004161588227195062,1,neg
90,90,สอน การใช้งาน,0.004146608897785798,2,neg
91,91,ฟรี,0.004142907388669977,1,neg
92,92,แต่ อยาก,0.00413581872605577,2,neg
93,93,เบื้องต้น,0.004099156387138759,1,neg
94,94,ข้อมูล,0.004061341681937021,1,neg
95,95,ว่า,0.004036082927301166,1,neg
96,96,เร็ว,0.004035098492240694,1,neg
97,97,การสอน,0.004032335339362027,1,neg
98,98,เหมาะกับ,0.004023977703528007,1,neg
99,99,อธิบาย,0.004012674626064325,1,neg
100,100,ไม่ พื้นฐาน,0.004011917685170261,2,neg
101,101,จาก,0.00397444986667407,1,neg
102,102,สำหรับ ผู้,0.003964708554597497,2,neg
103,103,คะ,0.003956949502799396,1,neg
104,104,บ้าง,0.003956582391968664,1,neg
105,105,แต่ ยัง,0.003945025458204961,2,neg
106,106,ปู พื้นฐาน,0.003941583287861732,2,neg
107,107,ต้อง พื้นฐาน,0.00393776851715331,2,neg
108,108,เอง,0.0039328677227070995,1,neg
109,109,คำถาม,0.003907234823739551,1,neg
110,110,ปู,0.003899869678343845,1,neg
111,111,การเขียน,0.0038949314619648187,1,neg
112,112,ไม่ค่อย,0.0038762568989536422,1,neg
113,113,คน ไม่,0.00386837689625111,2,neg
114,114,สนุก,0.0037918584762520365,1,neg
115,115,พอสมควร,0.003746054091978966,1,neg
116,116,บทเรียน,0.0037363744678886013,1,neg
117,117,เน้น,0.0037169821619954064,1,neg
118,118,ดี,0.003678790047571038,1,neg
119,119,สรุป,0.0036698280692395446,1,neg
120,120,ไฟล์,0.003643659664085082,1,neg
121,121,ของ,0.003633757801684094,1,neg
122,122,กระชับ,0.003630852439107232,1,neg
123,123,มากกว่า เพราะ,0.003603303619944303,2,neg
124,124,แต่ ก็,0.0035969351352822055,2,neg
125,125,อื่นๆ,0.0035003991847556634,1,neg
126,126,กด,0.0034934202783476337,1,neg
127,127,เหมาะกับ ผู้,0.00347538620913041,2,neg
128,128,certficate,0.0034667899852510622,1,neg
129,129,อยาก certficate,0.0034667899852510622,2,neg
130,130,เหมาะสำหรับ คน,0.0034563482933580155,2,neg
131,131,งง,0.003455607184433895,1,neg
132,132,คำ,0.0034511983245430334,1,neg
133,133,ระบบ,0.0034402014438065644,1,neg
134,134,สอน ดี,0.003439945092374513,2,neg
135,135,อยาก อธิบาย,0.0034378797823061123,2,neg
136,136,ลึก,0.0034371460389188337,1,neg
137,137,ถาม,0.0034303785870659718,1,neg
138,138,การทำงาน,0.0034078066717078714,1,neg
139,139,เรียน ซ้ำ,0.003402439720400396,2,neg
140,140,tools,0.0033949720153581245,1,neg
141,141,วิธีการ,0.003394335038479138,1,neg
142,142,เช่น,0.003390320760800198,1,neg
143,143,เพิ่มเติม,0.003382818353130599,1,neg
144,144,ผม,0.0033822902599725834,1,neg
145,145,ดู,0.0033683371774641444,1,neg
146,146,kotlin,0.003351257379063981,1,neg
147,147,bot,0.0033468307117339455,1,neg
148,148,โอเค,0.0033421614896811088,1,neg
149,149,บาง หัวข้อ,0.003335380681742639,2,neg
150,150,ไม่ เข้าใจ,0.003321986785281455,2,neg
151,151,มาก นำไปใช้,0.0032998545316960826,2,neg
152,152,จึง,0.003290950254911471,1,neg
153,153,อยาก ลง,0.0032882166632042667,2,neg
154,154,ข้าม,0.003286384279399008,1,neg
155,155,ไม่ เร็ว,0.0032549533378628537,2,neg
156,156,ยาก มาก,0.0032503981877395763,2,neg
157,157,เริ่ม,0.003245695530876361,1,neg
158,158,ซ้ำ,0.003217246160422405,1,neg
159,159,เป็นการ,0.0032067435808436594,1,neg
160,160,มีความรู้,0.003202364301446544,1,neg
161,161,นำเสนอ,0.0031917596137505705,1,neg
162,162,คอร์ส ฟรี,0.003168684079335961,2,neg
163,163,เข้าใจ แต่ละ,0.0031590738383465503,2,neg
164,164,ครอบคลุม,0.0031437321759429132,1,neg
165,165,คิด ว่า,0.003132648488397354,2,neg
166,166,ตรง,0.0031283335146667338,1,neg
167,167,เพิ่ม ตัวอย่าง,0.0031267468448341416,2,neg
168,168,ซึ่ง,0.0031210215251448307,1,neg
169,169,ส่วน,0.003119806258176597,1,neg
170,170,แต่ ถ้า,0.0031129566844959066,2,neg
171,171,ด้วย,0.003096107488873669,1,neg
172,172,ไม่ค่อย ดี,0.0030939243317595322,2,neg
173,173,แนบ,0.003074711784385659,1,neg
174,174,เทรด,0.0030744742479531803,1,neg
175,175,สร้าง,0.003072362634306287,1,neg
176,176,วิเคราะห์,0.0030721227710215153,1,neg
177,177,แนวคิด,0.003067438154441173,1,neg
178,178,เนื้อหา สอน,0.0030653340611884487,2,neg
179,179,ขอบคุณ,0.0030472091857493173,1,neg
180,180,เหมาะสำหรับ,0.0030319489233735235,1,neg
181,181,ทบทวน,0.0030315488808853306,1,neg
182,182,sheet,0.0030194145922040915,1,neg
183,183,ตามอย่าง,0.0030179470844377532,1,neg
184,184,เหมาะ มาก,0.002988790217382602,2,neg
185,185,ไว,0.002973537301825055,1,neg
186,186,เจอ,0.002965530563636673,1,neg
187,187,เท่าไหร่,0.002952617089669728,1,neg
188,188,คลิป ไม่,0.0029426585290948343,2,neg
189,189,เ,0.0029340716919885293,1,neg
190,190,สำหรับ คน,0.002923464259903096,2,neg
191,191,พูด,0.0029217100928347257,1,neg
192,192,go,0.0029124375643976067,1,neg
193,193,ทำงาน,0.0029115659191822152,1,neg
194,194,ภาษา kotlin,0.0029069444290966196,2,neg
195,195,เข้าใจ concept,0.002906268737201232,2,neg
196,196,concept มากขึ้น,0.002906268737201232,2,neg
197,197,ใคร,0.002906216127739628,1,neg
198,198,case,0.0028642895024374926,1,neg
199,199,เนื้อ,0.0028525873073959726,1,neg
200,200,สอน แจ่ม,0.0028493125259016236,2,neg
201,201,แจ่ม,0.0028493125259016236,1,neg
202,202,แจ่ม มาก,0.0028493125259016236,2,neg
203,203,เกี่ยวกับ,0.0028289194166669905,1,neg
204,204,มีความรู้ ก่อน,0.0028280272073274854,2,neg
205,205,รู้ ว่า,0.0028153300982551614,2,neg
206,206,รู้สึก,0.0028077343811144634,1,neg
207,207,ผู้สอน,0.0028025902823918276,1,neg
208,208,excel,0.0027989025674361265,1,neg
209,209,ใส่,0.002798595434419023,1,neg
210,210,สูตร,0.0027980088170024343,1,neg
211,211,จริงๆ,0.0027950289229187117,1,neg
212,212,แต่ละ บท,0.0027782404903825726,2,neg
213,213,อา,0.0027411192879014733,1,neg
214,214,ใช้,0.002740695477416612,1,neg
215,215,ขั้นตอน,0.002729473118469639,1,neg
216,216,ก็ ไม่,0.0027152640502835783,2,neg
217,217,เคส,0.0027150767135489524,1,neg
218,218,ดี ไม่,0.002713418990455311,2,neg
219,219,ประกอบ,0.0026901693154593384,1,neg
220,220,เร็ว เกินไป,0.002686966544991433,2,neg
221,221,การใช้งาน พื้นฐาน,0.002677444385085136,2,neg
222,222,เลย ไม่,0.002676951760668808,2,neg
223,223,คอร์ส เหมาะ,0.0026695965803413485,2,neg
224,224,ไหน,0.002668499122114205,1,neg
225,225,ลำบาก,0.0026520939691410147,1,neg
226,226,ลง รายละเอียด,0.002636056108574328,2,neg
227,227,ไม่ เหมาะกับ,0.002632308512751525,2,neg
228,228,นิดหน่อย,0.0026314660041620733,1,neg
229,229,basic,0.002629323482702055,1,neg
230,230,design,0.002628321054340242,1,neg
231,231,ถ้า ไม่,0.002628111542218384,2,neg
232,232,เพื่อน,0.002612171546752926,1,neg
233,233,ละเอียด ขึ้น,0.0026111009453919864,2,neg
234,234,มาก สำหรับ,0.002609482751983013,2,neg
235,235,พอ,0.0026018167289248518,1,neg
236,236,เริ่มต้น สำหรับ,0.0025922101718864367,2,neg
237,237,มัน,0.0025857904529596677,1,neg
238,238,ทำตาม,0.002583168987348779,1,neg
239,239,ภาพ,0.0025790320882750632,1,neg
240,240,สิ่ง,0.0025627079157968754,1,neg
241,241,ใจดี,0.002559112175562897,1,neg
242,242,เหมาะสม,0.0025551025237725744,1,neg
243,243,ผู้ พื้นฐาน,0.0025549963573420686,2,neg
244,244,เฉลย,0.0025528152383323672,1,neg
245,245,ง่าน ดี,0.0025482182145648174,2,neg
246,246,เข้าใจ ง่าน,0.0025482182145648174,2,neg
247,247,1,0.00254258390753346,1,neg
248,248,การเขียน โปรแกรม,0.0025364078815541995,2,neg
249,249,3,0.002532864161349688,1,neg
250,250,project,0.0025278746626345282,1,neg
251,251,หน้า,0.0025197996650114683,1,neg
252,252,ความ ชัดเจน,0.0025185678106233755,2,neg
253,253,พื้นฐาน อย่างยิ่ง,0.0025063618725633926,2,neg
254,254,ภาพรวม,0.0024999735756552443,1,neg
255,255,kotlin ก่อน,0.002476347826541679,2,neg
256,256,ความรู้ เข้าใจ,0.002475158272370963,2,neg
257,257,เข้าใจ เทรด,0.002475158272370963,2,neg
258,258,เกินไป แต่,0.002463758020001277,2,neg
259,259,การเรียน,0.002455220449588426,1,neg
260,260,),0.0024547104055795844,1,neg
261,261,เพราะ,0.0024513062719679897,1,neg
262,262,ประเด็น,0.0024417599824999034,1,neg
263,263,ยาก เกินไป,0.0024361095538152945,2,neg
264,264,พื้น,0.0024327236443900473,1,neg
265,265,ตามอย่าง เข้าใจ,0.002430649032736431,2,neg
266,266,ทำ ตามอย่าง,0.002430649032736431,2,neg
267,267,ความรู้ ทำ,0.002430649032736431,2,neg
268,268,เหมือนกัน,0.002428244654866952,1,neg
269,269,เขียน,0.0024205204130765276,1,neg
270,270,มาก นัก,0.0024204408598917527,2,neg
271,271,สำหรับ ใคร,0.0024032888946724437,2,neg
272,272,ง่าน,0.00240265569538301,1,neg
273,273,แน่น,0.002396157448255732,1,neg
274,274,เละ,0.002395071230171278,1,neg
275,275,อยากได้ project,0.0023938206976150734,2,neg
276,276,project ทำ,0.0023938206976150734,2,neg
277,277,ระบบ track,0.0023925450946499635,2,neg
278,278,track,0.0023925450946499635,1,neg
279,279,ครบ แล้วแต่,0.0023925450946499635,2,neg
280,280,track สถานะ,0.0023925450946499635,2,neg
281,281,แล้วแต่ ไม่,0.0023925450946499635,2,neg
282,282,เรียน ครบ,0.0023925450946499635,2,neg
283,283,นับว่า เรียนจบ,0.0023925450946499635,2,neg
284,284,สถานะ การเรียน,0.0023925450946499635,2,neg
285,285,ไม่ นับว่า,0.0023925450946499635,2,neg
