,comments,sentiment,types
6,อยากให้มีการอธิบายมากกว่านี้ เพราะสนุกดี,neg,อยาก
7,ยังรู้สึกไม่ตรงตามความต้องการ เนื้อหาไม่ละเอียด,neg,ไม่
10,อาจารย์สอนเข้าใจดี ขาดเทคนิดในการสอนให้น่าติดตาม และการตัดต่อเยอะๆส่งผลให้ผู้ฟัง งง กับความต่อเนื่อง ทรงผมของผู้สอน ทำให้เกิดความไม่จริงหรือไม่น่าติดตามครับ,neg,ไม่
12,เป็นการเล่า overall เรื่อง social listening  ที่เป็นควรรู้ก่อนทำจริง,neg,แต่และอื่นๆ
14,เป็นคลิปสั้น เข้าใจง่ายๆ ในแต่ละบทเรียน ถ้าไม่เข้าใจ สามารถกดเรียนซ้ำได้โดนไม่ต้องกดหา,neg,ไม่
16,ได้ภาพกว้างดีค่ะ แต่อยากทำ assignment เยอะหน่อย (ชอบมากเลยแบบที่มีให้ทำ) แล้วก็อยากได้การลงลึกมากกว่านี้อีกหน่อย,neg,อยาก
17,อยากชวนเพื่อนมาฟังด้วยกัน,neg,อยาก
27,"ได้ความรู้เยอะขึ้นมาก
ข้อมูลละเอียดมาก สำหรับคนที่ไม่มีประสบการณ์ด้านสาขานี้มาก่อน",neg,ไม่
34,จากไม่รู้จริง ตอนนี้มี line bot แล้ว จบคอร์สทำได้จริง,neg,ไม่
36,เหมาะสำหรับคนที่ไม่มีพื้นฐานอย่างยิ่ง,neg,ไม่
37,เป็นความรู้ และได้ทำตามอย่างเข้าใจ,neg,แต่และอื่นๆ
38,ลิงค์ไม่ได้อัพเดทมากนัก ต้องไปควานหาเอาในอากู๋เองพอสมควร แต่นอกนั้นก็สอนโอเคเลยนะ,neg,แต่และอื่นๆ
44,สอนการใช้งานพื้นฐานได้ดี,neg,แต่และอื่นๆ
52,มีการข้ามหัวข้อสร้าง Chat  Bot ไปทำให้คนที่สร้างไม่เป็นถึงขั้นงงเป็นไก่ตาแตกได้,neg,ไม่
57,รู้สึกว่าคอร์สมันทั้งลึกไปและตื้นไป Quizบางอันที่ให้ทำcomplexมากเกินกว่าระดับคนไม่มีพื้นฐานมาก่อนและมีassumed knowledgeว่านักเรียนจะรู้แล้วหลายที่มากเกินไป ในหลายQuiz มันจะมีฟังก์ชันที่เราจะต้องใช้ทำคำตอบแต่ว่าก่อนหน้านั้นคอร์สไม่ได้มีการอธิบายอะไรเลยว่าแต่ละcommandมีไว้ใช้ทำอะไร ใช้ในสถานการณ์ไหน มีแค่บอกให้queryและลองดูผลลัพธ์กันเอง โดยรวมแล้วคอร์สโอเคเพื่อที่จะให้ทำกานคุ้นเคยกับSQLว่าเบสิคคอมมานด์มีอะไรบ้าง สามารถเอาไปใช้ทำอะไรได้บ้าง แต่ส่วนตัวรู้สึกว่าคอร์สยังไม่เตรียมให้นักเรียนสามารถเอาไปใช้ได้ในสถานการณ์จริงอย่างมั่นใจ,neg,ไม่
62,ยากเหมือนกันในการเขียนโปรแกรม SQL ซึ่งต้องใช้เวลาฝึกฝนบ่อยๆ ถึงจะเกิดความชำนาญและจำSyntax ต่างๆได้,neg,แต่และอื่นๆ
66,อยากให้เห็น TABLE ก่อนที่จะมาทำ กรองก่อนเสมอจะได้รู้ว่า output จากสิ่งที่ทำต่างกันอย่างไร ซึ่งถ้าปกติมาให้ query ตมโจทย์เลยอาจจะไม่เห็นภาพมากนักเท่าไหร่,neg,อยาก
67,คิดว่า ยากเกินไปค่ะ แต่พยายามจะเข้าใจในบทเรียนนะคะ,neg,แต่และอื่นๆ
88,สอนให้รู้จักการใช้งาน tools ต่างๆได้ดีและเข้าใจง่าย จะดียิ่งขึ้นถ้าหากนำเสนอให้ tools ต่างๆที่สอน สามารถนำไปใช้หา insights ที่ซ่อนอยู่ของข้อมูลตัวอย่างได้จริง,neg,แต่และอื่นๆ
89,บางทีในส่วนของช่วงเเรกที่ให้ทำตาม อยากให้บอกจุดประสงค์ของการทำสิ่งๆ นั้นก่อนค่ะ ถ้ากดๆ ตามอย่างเดียวมันไม่รู้ว่าเอาไปทำเพื่ออะไร เเล้วมันต่อยอดลำบากค่ะ,neg,อยาก
92,สอนการใช้งานโปรแกรมได้ครอบคลุมมากค่ะ นำไปใช้ได้จริง,neg,แต่และอื่นๆ
94,เหมาะสำหรับคนที่อยากเข้าใจพื้นฐานการใช้งานเบื้องต้น โดยที่ไม่มีความรู้มาก่อน,neg,อยาก
