,word,count
4325,ไม่,123
2651,ว่า,62
3073,อยาก,57
3959,แต่,54
1661,ทำ,53
962,คอร์ส,44
2175,พื้นฐาน,43
2287,มาก,43
3340,เข้าใจ,42
3748,เลย,42
2775,สอน,42
737,ของ,38
4098,แล้ว,37
3680,เรียน,35
2318,มากกว่า,35
668,ก็,34
837,คน,33
1293,ดี,30
2856,สำหรับ,28
2947,หรือ,28
3491,เนื้อหา,28
702,ก่อน,27
2402,ยัง,27
4235,ใช้,27
1426,ตัวอย่าง,25
1536,ต้อง,25
1591,ถ้า,24
3214,อาจจะ,23
3719,เรื่อง,23
4046,แบบ,22
1949,บาง,22
3855,เหมือน,21
3051,อธิบาย,21
545,กว่า,20
890,ควร,20
1728,ทำให้,19
3583,เพิ่ม,19
1980,บ้าง,18
3170,อะไร,18
2832,สามารถ,18
1052,คือ,17
1044,คิด,17
2537,รู้สึก,17
1346,ด้วย,17
2421,ยาก,17
3996,แต่ละ,17
2412,ยัง ไม่,16
2523,รู้,16
1141,จริง,15
1087,ค่อนข้าง,15
3122,อยู่,15
3636,เยอะ,15
3281,เ,14
1166,จาก,14
2273,มัน,13
4428,ไว้,13
3566,เพราะ,13
4299,ได้ดี,13
2902,ส่วน,13
2552,ลง,12
1333,ดู,12
2496,รายละเอียด,12
1048,คิด ว่า,12
2577,ละเอียด,12
806,ข้อมูล,12
792,ขึ้น,12
1874,น่าจะ,11
2077,ผู้,11
1908,บท,11
2539,รู้สึก ว่า,11
1021,คำถาม,11
2346,มากขึ้น,11
2229,ฟัง,11
3142,อย่าง,11
2141,พอ,11
2053,ผม,11
2593,ลึก,11
3709,เรียนรู้,11
3386,เคย,11
1417,ตัว,10
912,ความ,10
4370,ไม่ รู้,10
3602,เพิ่มเติม,10
3802,เวลา,10
1246,ช้า,10
4182,โปรแกรม,10
1568,ถึง,10
2089,ผู้สอน,10
2102,ผู้เรียน,10
1521,ต่างๆ,10
3298,เกินไป,10
572,กับ,10
3778,เละ,10
4411,ไม่ค่อย,10
1845,นำไปใช้,9
4276,ใหม่,9
3610,เพื่อ,9
855,คน ไม่,9
3846,เหมาะกับ,9
2921,หน่อย,9
4441,ไหน,9
3284,เ เละ,9
1476,ตาม,9
468,tools,9
3423,เช่น,9
3904,เอง,9
3912,เอา,8
18,",",8
617,การสอน,8
3660,เริ่ม,8
2255,ภาษา,8
596,การทำงาน,8
2761,สร้าง,8
3008,หัวข้อ,8
929,ความรู้,8
3411,เฉลย,8
3988,แต่ อยาก,8
1262,ซึ่ง,8
1001,คาดหวัง,8
4201,โอเค,7
3327,เข้า,7
3530,เบื้องต้น,7
2859,สำหรับ คน,7
2927,หน้า,7
3667,เริ่มต้น,7
