,comments,sentiment,types
0,ดีค่ะ วิทยากรมีความรู้ดีมาก พูดเข้าใจ การสอนมีแต่เนื้อไม่มีน้ำ ตรงประเด็นมาก เลยรู้สึกว่าทุกคลิปที่ดู ได้ความรู้แบบไม่เสียเวลาดูไปเปล่าๆ แต่คิดว่าคอร์สนี้อาจจะต้องมีพื้นฐานทางด้านbusiness/marketingมาบ้างเพราะมีการใช้ศัพท์เฉพาะหลายๆอย่าง ส่วนตัวเคยเรียนมาเลยรู้เรื่อง คิดว่าดีที่ได้เอาไปต่อยอดเองได้ง่าย แต่ถ้าคนเริ่มจาก0เลยอาจจะเข้าใจยากบางจุดค่ะ แล้วก็อยากให้แจกไฟล์ที่สอนเป็นpdfด้วยเพราะไฟล์ที่แจกไม่ละเอียดเท่าอันที่สอนอะค่ะ,pos,ชมบ้างติบ้าง
1,ชอบมาก เหมาะสมหรับผู้ที่มีผู้ฐานเรื่องการตลาด และการบริหารธุรกิจ ช่วยเติมเต็มและส่งเสริมเสริมองค์ความรู้เดิมและใหม่ให้ดียิ่งขึ้น เรีนยนง่าย ชอบตรงที่ไม่น้ำเยอะ สรุปๆ มาเลย เข้าใจง่าย เพราะเหลือคือการลงมือทำจริง,pos,ชอบมาก
2,คอร์สเนื้อหาแน่น และผู้สอนก็สอนได้ละเอียด มีขั้นตอนการสอนที่ชัดเจน ดีมากครับ,pos,ชัดเจนเห็นภาพ
3,คอร์สนี้ช่วยให้หลักการและกรอบในการดำเนินงานด้าน GTM ได้ค่อนข้างชัดเจนครับ,pos,ชัดเจนเห็นภาพ
4,สอนแบบมี Logic และ วิธีการที่ชัดเจน ชอบมากค่ะ,pos,ชัดเจนเห็นภาพ
5,เห็นภาพรวมได้ดีครับ อยากให้มีเป็น bootcamp สำหรับด้านธุรกิจต่อไป,pos,แนะนำคอร์ส
8,เปิดโลกมากๆ,pos,ชอบมาก
9,เป็นคอร์สที่มีประโยชน์มาก เข้าใจง่าย มีการยกตัวอย่างเพื่อให้เห็นภาพ คนที่เริ่มใหม่สามารถเข้าใจได้ง่ายๆ,pos,แนะนำคอร์ส
11,อธิบายมีขี้น มีลำดับที่ดีชัดเจน ไม่คิดว่าคอร์ส 1 ชั่วโมงจะพูดได้เยอะขนาดนี้,pos,ชัดเจนเห็นภาพ
13,เริ่มจากพื้นฐานจนถึงการนำไปปฏิบัติ และยกตัวอย่างให้เข้าใจได้,pos,แนะนำคอร์ส
15,ได้ไอเดียแนวคิดเพื่อไปต่อยอดหรือวิเคราะห์เพิ่มเติมได้ดี,pos,แนะนำคอร์ส
18,สามารถนำไปต่อยอดได้,pos,สามารถนำไปใช้
19,ดี,pos,สอนดี
20,อ่านมาเล่า,pos,เข้าใจมากขึ้น
21,มีหลายอย่างตรงกับงานที่กำลังจะใช้ แต่เนื้อหาค่อนข้างยาก อยากให้มีแนะนำคอร์สก่อนหน้า,pos,แนะนำคอร์ส
