,comments,target
0,ดีค่ะ วิทยากรมีความรู้ดีมาก พูดเข้าใจ การสอนมีแต่เนื้อไม่มีน้ำ ตรงประเด็นมาก เลยรู้สึกว่าทุกคลิปที่ดู ได้ความรู้แบบไม่เสียเวลาดูไปเปล่าๆ แต่คิดว่าคอร์สนี้อาจจะต้องมีพื้นฐานทางด้านbusiness/marketingมาบ้างเพราะมีการใช้ศัพท์เฉพาะหลายๆอย่าง ส่วนตัวเคยเรียนมาเลยรู้เรื่อง คิดว่าดีที่ได้เอาไปต่อยอดเองได้ง่าย แต่ถ้าคนเริ่มจาก0เลยอาจจะเข้าใจยากบางจุดค่ะ แล้วก็อยากให้แจกไฟล์ที่สอนเป็นpdfด้วยเพราะไฟล์ที่แจกไม่ละเอียดเท่าอันที่สอนอะค่ะ,pos
1,ชอบมาก เหมาะสมหรับผู้ที่มีผู้ฐานเรื่องการตลาด และการบริหารธุรกิจ ช่วยเติมเต็มและส่งเสริมเสริมองค์ความรู้เดิมและใหม่ให้ดียิ่งขึ้น เรีนยนง่าย ชอบตรงที่ไม่น้ำเยอะ สรุปๆ มาเลย เข้าใจง่าย เพราะเหลือคือการลงมือทำจริง,pos
2,คอร์สเนื้อหาแน่น และผู้สอนก็สอนได้ละเอียด มีขั้นตอนการสอนที่ชัดเจน ดีมากครับ,pos
3,คอร์สนี้ช่วยให้หลักการและกรอบในการดำเนินงานด้าน GTM ได้ค่อนข้างชัดเจนครับ,pos
4,สอนแบบมี Logic และ วิธีการที่ชัดเจน ชอบมากค่ะ,pos
5,เห็นภาพรวมได้ดีครับ อยากให้มีเป็น bootcamp สำหรับด้านธุรกิจต่อไป,pos
6,อยากให้มีการอธิบายมากกว่านี้ เพราะสนุกดี,pos
7,ยังรู้สึกไม่ตรงตามความต้องการ เนื้อหาไม่ละเอียด,neg
8,เปิดโลกมากๆ,pos
9,เป็นคอร์สที่มีประโยชน์มาก เข้าใจง่าย มีการยกตัวอย่างเพื่อให้เห็นภาพ คนที่เริ่มใหม่สามารถเข้าใจได้ง่ายๆ,pos
10,อาจารย์สอนเข้าใจดี ขาดเทคนิดในการสอนให้น่าติดตาม และการตัดต่อเยอะๆส่งผลให้ผู้ฟัง งง กับความต่อเนื่อง ทรงผมของผู้สอน ทำให้เกิดความไม่จริงหรือไม่น่าติดตามครับ,neg
11,อธิบายมีขี้น มีลำดับที่ดีชัดเจน ไม่คิดว่าคอร์ส 1 ชั่วโมงจะพูดได้เยอะขนาดนี้,pos
12,เป็นการเล่า overall เรื่อง social listening  ที่เป็นควรรู้ก่อนทำจริง,pos
13,เริ่มจากพื้นฐานจนถึงการนำไปปฏิบัติ และยกตัวอย่างให้เข้าใจได้,pos
14,เป็นคลิปสั้น เข้าใจง่ายๆ ในแต่ละบทเรียน ถ้าไม่เข้าใจ สามารถกดเรียนซ้ำได้โดนไม่ต้องกดหา,pos
15,ได้ไอเดียแนวคิดเพื่อไปต่อยอดหรือวิเคราะห์เพิ่มเติมได้ดี,pos
16,ได้ภาพกว้างดีค่ะ แต่อยากทำ assignment เยอะหน่อย (ชอบมากเลยแบบที่มีให้ทำ) แล้วก็อยากได้การลงลึกมากกว่านี้อีกหน่อย,neg
17,อยากชวนเพื่อนมาฟังด้วยกัน,pos
18,สามารถนำไปต่อยอดได้,pos
19,ดี,pos
20,อ่านมาเล่า,neg
21,มีหลายอย่างตรงกับงานที่กำลังจะใช้ แต่เนื้อหาค่อนข้างยาก อยากให้มีแนะนำคอร์สก่อนหน้า,pos
22,"less explanation in github which quite hard to follow for the one who doesn't familiar with jupyter, tensorflow, python",neg
23,เรียนสนุก เนื้อหาแน่น พอมองเห็นถาพ,pos
24,ชอบ,pos
25,ทำให้รู้ว่าการออกแบบ หรือระบบเป็นยังไง,pos
26,อธิบายเข้าใจดีครับ,pos
27,"ได้ความรู้เยอะขึ้นมาก
ข้อมูลละเอียดมาก สำหรับคนที่ไม่มีประสบการณ์ด้านสาขานี้มาก่อน",pos
28,คนที่สนใจงานด้านนี้ควรเข้ามาฟัง,pos
29,รู้ว่าData Scientist คืออะไร ใช้ทำอะไรในองค์กร,neg
30,อธิบายเก่งดีค่ะ แต่ตรงช่วงคำถามมันจะแบบ คะ...? เพราะอาจจะพูดเร็วด้วย ละพูดเยอะด้วย แต่เนื้อหาที่ไม่ได้ตั้งใจฟังเท่าไหร่กลับเอามาถาม แต่โชคดีค่ะที่ตั้งใจเรียน ตอบได้ตอบถูกหมดเลย,pos
31,5 ทำให้เข้าใจการทำงานของ chatbot มากขึ้น เพื่อนำไปใช้ในการทำงานจริงได้,pos
32,This course is basic LINE Chatbot. It's ok for beginner study.,pos
33,เนื้อหาดี ผู้สอนถ่ายทอดความรู้ได้ดี เข้าใจง่าย ขอบคุณมากค่ะ,pos
34,จากไม่รู้จริง ตอนนี้มี line bot แล้ว จบคอร์สทำได้จริง,pos
35,ผู้สอนเรียบเรียงเนื้อหาทำให้เข้าใจง่ายครับ,pos
36,เหมาะสำหรับคนที่ไม่มีพื้นฐานอย่างยิ่ง,pos
37,เป็นความรู้ และได้ทำตามอย่างเข้าใจ,pos
38,ลิงค์ไม่ได้อัพเดทมากนัก ต้องไปควานหาเอาในอากู๋เองพอสมควร แต่นอกนั้นก็สอนโอเคเลยนะ,neg
39,ถ่ายทอดดี เข้าใจง่ายค่ะ,pos
40,แนะนำให้มาเรียนเลยครับ,pos
41,ได้ความรู้ดี เข้าใจง่าย กระชับ,pos
42,สอนง่ายเข้าใจเร็ว,pos
43,เข้าใจง่ายมากครับ,pos
44,สอนการใช้งานพื้นฐานได้ดี,neg
45,ดีมากกก,pos
46,ดีมาก,pos
47,5,pos
48,สอนได้ดีมากๆ เลยครับ เรียนรวดเดียว จบภายในวันเดียว แนะนำเลยครับ แต่ละคลิปไม่ยาวไม่สั้นเกินไป ดูรอบแรกให้เข้าใจทั้งหมดก่อน แล้วค่อยมานั่งเก็บรายละเอียดทีหลัง,pos
49,เนื้อหาเข้าใจง่ายมาก จากที่ไม่รู้เรื่อง LIFF เลยว่ามันทำงานอย่างไร ได้เรียนคอร์สนี้ซึ่งเป็นพื้นฐานที่ดีมาก ทำให้อยากเรียนคอร์สที่เกี่ยวกับ LIFF ต่อเลยครับ,pos
50,คอร์สนี้ดีผู้บรรยายสอนลำดับทำให้เข้าใจได้กว่าที่คิดมาก เยี่ยม,pos
51,ทำให้เข้าใจภาพรวมที่จะนำไปประยุกต์กับงานของตนเองได้,pos
52,มีการข้ามหัวข้อสร้าง Chat  Bot ไปทำให้คนที่สร้างไม่เป็นถึงขั้นงงเป็นไก่ตาแตกได้,pos
53,อธิบายง่าย ภาพประกอบชัดเจน,pos
54,นักพัฒนา LIFF ควรดูครับ,pos
55,cool,pos
56,"Good foundation for SQL for beginner with detailed explanation and encouragement to give yourself a try. Quite difficult in the middle part onwards, but provides many exercises for practicing. Still recommended.",pos
57,รู้สึกว่าคอร์สมันทั้งลึกไปและตื้นไป Quizบางอันที่ให้ทำcomplexมากเกินกว่าระดับคนไม่มีพื้นฐานมาก่อนและมีassumed knowledgeว่านักเรียนจะรู้แล้วหลายที่มากเกินไป ในหลายQuiz มันจะมีฟังก์ชันที่เราจะต้องใช้ทำคำตอบแต่ว่าก่อนหน้านั้นคอร์สไม่ได้มีการอธิบายอะไรเลยว่าแต่ละcommandมีไว้ใช้ทำอะไร ใช้ในสถานการณ์ไหน มีแค่บอกให้queryและลองดูผลลัพธ์กันเอง โดยรวมแล้วคอร์สโอเคเพื่อที่จะให้ทำกานคุ้นเคยกับSQLว่าเบสิคคอมมานด์มีอะไรบ้าง สามารถเอาไปใช้ทำอะไรได้บ้าง แต่ส่วนตัวรู้สึกว่าคอร์สยังไม่เตรียมให้นักเรียนสามารถเอาไปใช้ได้ในสถานการณ์จริงอย่างมั่นใจ,neg
58,เนื้อหาของส่วน Basic SQL มี command ให้เลือกใช้เยอะมาก ปกติตอนเรียนในห้องจะไม่ได้มี command ตรง select เยอะขนาดนี้ ปกติจะไปเน้นที่ where แต่คอร์สนี้มี command ให้ดูเยอะมาก,pos
