web-scraper-order,web-scraper-start-url,skilllane_link,skilllane_link-href,names,comments,stars
1666011743-431,https://www.skilllane.com/courses/all,Excel เพื่อการนำเสนออย่างว้าว กระชับ ฉับไวสมเกียรติ ช่วยมากMicrosoft Office Specialist Expert Certified: MOS390 บาท990 บาท,https://www.skilllane.com/courses/excel-for-presentation-wow,by ธนภร คลื่นสนั่น,,5
1666011743-432,https://www.skilllane.com/courses/all,Excel เพื่อการนำเสนออย่างว้าว กระชับ ฉับไวสมเกียรติ ช่วยมากMicrosoft Office Specialist Expert Certified: MOS390 บาท990 บาท,https://www.skilllane.com/courses/excel-for-presentation-wow,by Pongpak Saelim,,5
1666011743-433,https://www.skilllane.com/courses/all,Excel เพื่อการนำเสนออย่างว้าว กระชับ ฉับไวสมเกียรติ ช่วยมากMicrosoft Office Specialist Expert Certified: MOS390 บาท990 บาท,https://www.skilllane.com/courses/excel-for-presentation-wow,by natcharee phrudprisan,,3
1666011743-434,https://www.skilllane.com/courses/all,Excel เพื่อการนำเสนออย่างว้าว กระชับ ฉับไวสมเกียรติ ช่วยมากMicrosoft Office Specialist Expert Certified: MOS390 บาท990 บาท,https://www.skilllane.com/courses/excel-for-presentation-wow,by Prapaporn Jumpanin,,4
1666011743-435,https://www.skilllane.com/courses/all,Excel เพื่อการนำเสนออย่างว้าว กระชับ ฉับไวสมเกียรติ ช่วยมากMicrosoft Office Specialist Expert Certified: MOS390 บาท990 บาท,https://www.skilllane.com/courses/excel-for-presentation-wow,by ปิยเนตร พงษ์หืรัญ,,5
1666011743-436,https://www.skilllane.com/courses/all,Excel เพื่อการนำเสนออย่างว้าว กระชับ ฉับไวสมเกียรติ ช่วยมากMicrosoft Office Specialist Expert Certified: MOS390 บาท990 บาท,https://www.skilllane.com/courses/excel-for-presentation-wow,by นายณัฐพล นามวัน,,5
1666011743-437,https://www.skilllane.com/courses/all,Excel เพื่อการนำเสนออย่างว้าว กระชับ ฉับไวสมเกียรติ ช่วยมากMicrosoft Office Specialist Expert Certified: MOS390 บาท990 บาท,https://www.skilllane.com/courses/excel-for-presentation-wow,by Watcharanon Mekkhayai,,5
1666011754-438,https://www.skilllane.com/courses/all,"Free Daily Grammar เรียนง่ายใช้ได้จริงวันวิชิต บูรณะสิทธิพร (ครูโตโน่)ครูสอนภาษาอังกฤษ เจ้าของแฟนเพจ ""CU-TEP Online by KruToNo"" ฟรี",https://www.skilllane.com/courses/Free-Daily-Grammar,by Kanakarn Thitikhositphat,,5
1666011754-439,https://www.skilllane.com/courses/all,"Free Daily Grammar เรียนง่ายใช้ได้จริงวันวิชิต บูรณะสิทธิพร (ครูโตโน่)ครูสอนภาษาอังกฤษ เจ้าของแฟนเพจ ""CU-TEP Online by KruToNo"" ฟรี",https://www.skilllane.com/courses/Free-Daily-Grammar,by Kamontip C.,,5
1666011754-440,https://www.skilllane.com/courses/all,"Free Daily Grammar เรียนง่ายใช้ได้จริงวันวิชิต บูรณะสิทธิพร (ครูโตโน่)ครูสอนภาษาอังกฤษ เจ้าของแฟนเพจ ""CU-TEP Online by KruToNo"" ฟรี",https://www.skilllane.com/courses/Free-Daily-Grammar,by Pang Jutamas,ได้ความรู้ดีมากค่ะ,5
